,Tag,Sha
88,v5.6.5,6a3757194556139af48f472b1a08985a77b73b80
89,v5.6.4,8bbedf5fe55fa22888e107898e5c16ca7f82c636
90,v5.6.3,1a2f2657be59b98ba20133ea3e8b66eb72c076b0
91,v5.6.2,57e20f3c86c8af747761149eb7eefbf7caea4b9a
92,v5.6.1,667b4976e31f646de58794d03306ab8bfd4f743b
93,v5.6.0,781a83507f0598b36512cba088ffeefa73b4bbe6
94,v5.5.3,9305a5e8d8f0b3bbab3872cf2f0aee45d72a8aea
95,v5.5.2,b2f0c096c18393e016cb0ad89fcb9db6bdcd5907
96,v5.5.1,19c13d032a6a6b89ab6e5440cf1b3b07b948afbe
97,v5.5.0,260387d2e4c0422c00adb04d160690ed1da05209
98,v5.4.3,eed30a8e9bb74322a9c8dd73d5896f70829d43e2
99,v5.4.2,929b078898b27e05476cc6212bc0b96d3eb8b7b1
100,v5.4.1,2cfe0dfa0304be2f9b6fc4508ddeb08e42d15678
101,v5.4.0,780f8c429c5b945035c887ec93a64579cc1d0f20
102,v5.3.3,65e26e66dadbb02b96c0033835ee822b4569c651
103,v5.3.2,30681957d1234e849701b76d37c08c374252abe0
104,v5.3.1,5f9cf58c67cb067ef3565862d18d2f6ad05a9a2f
105,v5.3.0,3adb13b1f49935973b974a2517caa0d4d59bf4d0
106,v5.2.2,f9d9b74f0fb6d9be39d27f658479556230ecd8c1
107,v5.2.1,db0d481864d5eb1aa9756736e118fddb69725168
108,v5.2.0,24e05b955cc926de349ad43b3db7504b0f9f1ed2
109,v5.1.2,c8c4c16c38f7262a27ad3beb509c2ae1b15d156a
110,v5.1.1,5395e21a627bfe3ab8f037f49e68a9060bc967dd
111,v5.0.2,f6b49518e4054d4787474dfbbbfe882f05696eee
112,v5.0.1,080bb4748b0c6484538c1deb76a77d7f3edbbeca
113,v5.0.0,253032b4a7818992af360097e3ddc1475fa7b044
114,v5.0.0-rc1,13e62e1813a3ab51594a9a70afaba9fdd5c487a8
115,v5.0.0-beta1,7eb6260131aeabf25ff8301b2e3b9ada6297e692
116,v5.0.0-alpha5,d327dd46b179e3ab909a7a1c4b481070d97bcdf8
117,v5.0.0-alpha4,3f5b9943fd39c99d9fcfa130e92cb3883253a527
118,v5.0.0-alpha3,cad959b9804c0161b7304f6498b5040bac92a0a4
119,v5.0.0-alpha2,e3126dfac03a63e3e90dda09b2c7f9a098682287
120,v5.0.0-alpha1,7d4ed5b19ebc25d608d70babab0fb08f0c9ea122
121,v2.4.6,5376dca9f70f3abef96a77f4bb22720ace8240fd
122,v2.4.5,c849dd13904f53e63e88efc33b2ceeda0b6a1276
123,v2.4.4,fcbb46dfd45562a9cf00c604b30849a6dec6b017
124,v2.4.3,d38a34e7b75af4e17ead16f156feffa432b22be3
125,v2.4.2,161c65a337d4b422ac0c805f284565cf2014bb84
126,v2.4.1,c67dc32e24162035d18d6fe1e952c4cbcbe79d16
127,v2.4.0,ce9f0c7394dee074091dd1bc4e9469251181fc55
128,v2.3.5,90f439ff60a3c0f497f91663701e64ccd01edbb4
